"","X.GENE_SYMBOL","ENTREZ_GENE_ID","EXOMISER_GENE_PHENO_SCORE","EXOMISER_GENE_VARIANT_SCORE","EXOMISER_GENE_COMBINED_SCORE","HUMAN_PHENO_SCORE","MOUSE_PHENO_SCORE","FISH_PHENO_SCORE","WALKER_SCORE","PHIVE_ALL_SPECIES_SCORE","OMIM_SCORE","MATCHES_CANDIDATE_GENE","HUMAN_PHENO_EVIDENCE","MOUSE_PHENO_EVIDENCE","FISH_PHENO_EVIDENCE","HUMAN_PPI_EVIDENCE","MOUSE_PPI_EVIDENCE","FISH_PPI_EVIDENCE"
"94","CBFA2T3",863,0.5001,0.8892,0.5191,0,0,0,0.5001,0.5001,1,0,"","","","Proximity to SKI associated with 1p36 deletion syndrome (ORPHA:1606): Spasticity (HP:0001257)-Hemiplegia/hemiparesis (HP:0004374), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Proximity to SKI Spasticity (HP:0001257)-abnormal olfactory bulb morphology (MP:0000819), Microcephaly (HP:0000252)-abnormal olfactory bulb morphology (MP:0000819), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal olfactory bulb morphology (MP:0000819), ",""
"95","CNTN5",53942,0.5002,0.8757,0.4883,0,0,0,0.5002,0.5002,1,0,"","","","Proximity to PRNP associated with Inherited Creutzfeldt-Jakob disease (ORPHA:282166): Spasticity (HP:0001257)-Spastic hemiparesis (HP:0011099), Microcephaly (HP:0000252)-Global brain atrophy (HP:0002283), Cataract (HP:0000518)-Abnormal pupillary function (HP:0007686), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Focal T2 hyperintense basal ganglia lesion (HP:0007183), Cerebellar atrophy (HP:0001272)-Global brain atrophy (HP:0002283), ","Proximity to PRNP Spasticity (HP:0001257)-abnormal neuron proliferation (MP:0009967), Dystonia (HP:0001332)-hypoactivity (MP:0001402), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral cortex morphology (MP:0000788), Cerebellar atrophy (HP:0001272)-cerebellum atrophy (MP:0014185), ",""
"96","FAT1",2195,0.5,0.8714,0.478,0,0.4283,0.1374,0.5,0.5,1,0,"","Cataract (HP:0000518)-aphakia (MP:0003078), Methylmalonic aciduria (HP:0012120)-abnormal podocyte slit junction morphology (MP:0008062), ","Methylmalonic aciduria (HP:0012120)-abnormal(ly) cystic pronephros (ZP:0001445), ","","Proximity to WASF1 Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-enlarged lateral ventricles (MP:0008535), Abnormal basal ganglia MRI signal intensity (HP:0012751)-decreased striatum area (MP:0012468), Cerebellar atrophy (HP:0001272)-decreased brain size (MP:0000774), ",""
"97","ASCL1",429,0.5006,0.85,0.4309,0,0.326,0.4021,0.5006,0.5006,1,0,"","Spasticity (HP:0001257)-abnormal neuron apoptosis (MP:0003202), Cerebellar atrophy (HP:0001272)-abnormal locus ceruleus morphology (MP:0003661), ","Spasticity (HP:0001257)-abnormal(ly) decreased process quality glial cell proliferation (ZP:0006442), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal(ly) morphology hypothalamus (ZP:0009666), ","Proximity to PRDM16 associated with 1p36 deletion syndrome (ORPHA:1606): Spasticity (HP:0001257)-Hemiplegia/hemiparesis (HP:0004374), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Proximity to PRDM16 Ventriculomegaly (HP:0002119)-abnormal choroid plexus morphology (MP:0000820), ",""
"98","ASPN",54829,0.5001,0.85,0.4294,0,0,0,0.5001,0.5001,1,0,"","","","","Proximity to FZD3 Spasticity (HP:0001257)-thin cerebral cortex (MP:0006254), Microcephaly (HP:0000252)-abnormal telencephalon morphology (MP:0000787), Ventriculomegaly (HP:0002119)-enlarged lateral ventricles (MP:0008535), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), ","Proximity to FZD3 Spasticity (HP:0001257)-abnormal(ly) disrupted neuron migration (ZP:0001562), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal(ly) mislocalised facial nerve motor nucleus (ZP:0002106), Cerebellar atrophy (HP:0001272)-abnormal(ly) mislocalised facial nerve motor nucleus (ZP:0002106), "
"99","KCNN4",3783,0.5001,0.8429,0.4137,0,0.1574,0,0.5001,0.5001,1,0,"","Methylmalonic aciduria (HP:0012120)-renal interstitial fibrosis (MP:0003215), ","","Proximity to ATXN3 associated with Machado-Joseph disease (OMIM:109150): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Methylmalonic aciduria (HP:0012120)-Urinary bladder sphincter dysfunction (HP:0002839), Ventriculomegaly (HP:0002119)-Dilated fourth ventricle (HP:0002198), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to ATXN3 Dystonia (HP:0001332)-impaired coordination (MP:0001405), Cerebellar atrophy (HP:0001272)-abnormal Purkinje cell morphology (MP:0000877), ",""
"100","KLF10",7071,0.5,0.8428,0.4133,0,0,0,0.5,0.5,1,0,"","","","Proximity to MECP2 associated with Rett syndrome (ORPHA:778): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cerebellar atrophy (HP:0001272)-Arnold-Chiari malformation (HP:0002308), ","Proximity to MECP2 Spasticity (HP:0001257)-abnormal hippocampus CA2 region morphology (MP:0008265), Dystonia (HP:0001332)-hypoactivity (MP:0001402), Microcephaly (HP:0000252)-abnormal olfactory bulb morphology (MP:0000819), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal olfactory bulb morphology (MP:0000819), Cerebellar atrophy (HP:0001272)-decreased brain weight (MP:0002175), ","Proximity to MECP2 Spasticity (HP:0001257)-abnormal(ly) increased occurrence brain astrocyte differentiation (ZP:0018102), "
"101","PASK",23178,0.5,0.8375,0.4015,0,0,0,0.5,0.5,1,0,"","","","Proximity to TK2 associated with Mitochondrial DNA depletion syndrome 2 (OMIM:609560): Microcephaly (HP:0000252)-Cerebral atrophy (HP:0002059), Methylmalonic aciduria (HP:0012120)-Aminoaciduria (HP:0003355), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the basal ganglia (HP:0002134), Cerebellar atrophy (HP:0001272)-Cerebral atrophy (HP:0002059), ","Proximity to TK2 Dystonia (HP:0001332)-hypoactivity (MP:0001402), ",""
"102","ADGRV1",84059,0.5201,0.8,0.3693,0.5201,0.2593,0,0.5,0.5201,1,0,"Usher syndrome type 2 (ORPHA:231178): Spasticity (HP:0001257)-Cerebral cortical atrophy (HP:0002120), Microcephaly (HP:0000252)-Subcortical cerebral atrophy (HP:0012157), Cataract (HP:0000518)-Cataract (HP:0000518), Cerebellar atrophy (HP:0001272)-Subcortical cerebral atrophy (HP:0012157), ","Spasticity (HP:0001257)-abnormal hair cell mechanoelectric transduction (MP:0004431), Cerebellar atrophy (HP:0001272)-cochlear outer hair cell degeneration (MP:0004404), ","","Proximity to AUH associated with 3-methylglutaconic aciduria type 1 (ORPHA:67046): Spasticity (HP:0001257)-Spastic tetraparesis (HP:0001285), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-3-Methylglutaconic aciduria (HP:0003535), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the basal ganglia (HP:0002134), ","","Proximity to AUH Methylmalonic aciduria (HP:0012120)-abnormal(ly) disrupted leucine metabolic process (ZP:0006843), "
"103","SREBF1",6720,0.5086,0.8,0.342,0,0,0,0.5086,0.5086,1,0,"","","","Proximity to MED25 associated with Basel-Vanagait-Smirin-Yosef syndrome (OMIM:616449): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), ","",""
"104","FYN",2534,0.3942,0.9247,0.3321,0,0.3942,0,0,0.3942,1,0,"","Spasticity (HP:0001257)-ectopic hippocampus pyramidal cells (MP:0010011), Microcephaly (HP:0000252)-abnormal hippocampus morphology (MP:0000807), Abnormal basal ganglia MRI signal intensity (HP:0012751)-decreased corpus callosum size (MP:0000781), ","","","",""
"105","CHD8",57680,0.5037,0.7994,0.3295,0.2365,0,0.3311,0.5037,0.5037,1,0,"Autism, susceptibility to, 18 (OMIM:615032): Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), ","","Spasticity (HP:0001257)-abnormal(ly) decreased amount enteric neuron (ZP:0011401), Microcephaly (HP:0000252)-abnormal(ly) increased size head (ZP:0001143), Cerebellar atrophy (HP:0001272)-abnormal(ly) increased size brain (ZP:0003410), ","Proximity to TAF1 associated with Mental retardation, X-linked, syndromic 33 (OMIM:300966): Spasticity (HP:0001257)-Spastic diplegia (HP:0001264), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"106","HIP1",3092,0.5036,0.7993,0.329,0,0.4475,0,0.5036,0.5036,1,0,"","Cataract (HP:0000518)-nuclear cataracts (MP:0010254), ","","Proximity to HTT associated with Juvenile Huntington disease (ORPHA:248111): Dystonia (HP:0001332)-Dystonia (HP:0001332), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Neuronal loss in basal ganglia (HP:0200147), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to HTT Spasticity (HP:0001257)-abnormal hippocampus morphology (MP:0000807), Microcephaly (HP:0000252)-abnormal telencephalon morphology (MP:0000787), Ventriculomegaly (HP:0002119)-abnormal brain ventricle morphology (MP:0000822), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), Cerebellar atrophy (HP:0001272)-abnormal cerebellum development (MP:0000854), ","Proximity to HTT Spasticity (HP:0001257)-abnormal(ly) absent olfactory placode olfactory receptor cell (ZP:0010090), Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), Ventriculomegaly (HP:0002119)-abnormal(ly) increased size ventricular system (ZP:0000413), "
"107","CACNB2",783,0.5026,0.8,0.3282,0,0,0,0.5026,0.5026,1,0,"","","","Proximity to CACNA1B associated with ?Dystonia 23 (OMIM:614860): Spasticity (HP:0001257)-Cerebral cortical atrophy (HP:0002120), Dystonia (HP:0001332)-Axial dystonia (HP:0002530), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to CACNA1B Spasticity (HP:0001257)-abnormal baroreceptor physiology (MP:0004184), Dystonia (HP:0001332)-hyperactivity (MP:0001399), ",""
"108","POU2F3",25833,0.5,0.8,0.3223,0,0,0,0.5,0.5,1,0,"","","","Proximity to ERCC8 associated with Cockayne syndrome, type A (OMIM:216400): Spasticity (HP:0001257)-Patchy demyelination of subcortical white matter (HP:0002545), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Proteinuria (HP:0000093), Ventriculomegaly (HP:0002119)-Normal pressure hydrocephalus (HP:0002343), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Basal ganglia calcification (HP:0002135), Cerebellar atrophy (HP:0001272)-Cerebral atrophy (HP:0002059), ","Proximity to ERCC8 Cerebellar atrophy (HP:0001272)-retinal photoreceptor degeneration (MP:0008450), ",""
"109","TCF7",6932,0.5,0.8,0.3222,0,0.4454,0,0.5,0.5,1,0,"","Cataract (HP:0000518)-cataract (MP:0001304), ","","","Proximity to SRGAP3 Spasticity (HP:0001257)-cerebral edema (MP:0011854), Dystonia (HP:0001332)-hypoactivity (MP:0001402), Microcephaly (HP:0000252)-cerebral edema (MP:0011854), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-cerebral edema (MP:0011854), ",""
"110","SCG5",6447,0.5,0.8,0.3222,0,0,0.2178,0.5,0.5,1,0,"","","Ventriculomegaly (HP:0002119)-abnormal(ly) hydrocephalic ventricular system (ZP:0017924), ","","Proximity to NFIB Spasticity (HP:0001257)-absent dentate gyrus (MP:0000814), Microcephaly (HP:0000252)-absent corpus callosum (MP:0002196), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-absent corpus callosum (MP:0002196), Cerebellar atrophy (HP:0001272)-abnormal cerebellar granule cell morphology (MP:0004098), ",""
"111","CLK1",1195,0.5001,0.7993,0.3209,0,0,0,0.5001,0.5001,1,0,"","","","Proximity to AFG3L2 associated with Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome (ORPHA:313772): Spasticity (HP:0001257)-Spastic dysarthria (HP:0002464), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebellar hypoplasia (HP:0001321), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to AFG3L2 Dystonia (HP:0001332)-abnormal locomotor activation (MP:0003313), Cerebellar atrophy (HP:0001272)-abnormal cerebellar granule layer morphology (MP:0000886), ",""
"112","LTBP1",4052,0.5,0.7992,0.3206,0,0.1912,0,0.5,0.5,1,0,"","Methylmalonic aciduria (HP:0012120)-polycystic kidney (MP:0008528), ","","Proximity to COL4A1 associated with Porencephaly 1 (OMIM:175780): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Limb dystonia (HP:0002451), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Leukoencephalopathy (HP:0002352), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to COL4A1 Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral cortex morphology (MP:0000788), ",""
"113","ETF1",2107,0.5043,0.7931,0.318,0,0,0.3842,0.5043,0.5043,1,0,"","","Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), Cerebellar atrophy (HP:0001272)-abnormal(ly) decreased size brain (ZP:0000711), ","Proximity to RARS2 associated with Pontocerebellar hypoplasia, type 6 (OMIM:611523): Spasticity (HP:0001257)-Upper limb spasticity (HP:0006986), Microcephaly (HP:0000252)-Progressive microcephaly (HP:0000253), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","","Proximity to RARS2 Cerebellar atrophy (HP:0001272)-abnormal(ly) hypoplastic brain (ZP:0004224), "
"114","COL18A1",80781,0.3219,0.9968,0.3127,0.6438,0.6326,0,0.5029,0.6438,0.5,0,"Knobloch syndrome, type 1 (OMIM:267750): Spasticity (HP:0001257)-Polymicrogyria (HP:0002126), Microcephaly (HP:0000252)-Cerebral atrophy (HP:0002059), Cataract (HP:0000518)-Congenital cataract (HP:0000519), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Spasticity (HP:0001257)-dilated lateral ventricles (MP:0000825), Microcephaly (HP:0000252)-enlarged cranium (MP:0000439), Methylmalonic aciduria (HP:0012120)-increased circulating creatinine level (MP:0005553), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-dilated lateral ventricles (MP:0000825), Cerebellar atrophy (HP:0001272)-dilated fourth ventricle (MP:0000829), ","","Proximity to COL4A1 associated with Porencephaly 1 (OMIM:175780): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Limb dystonia (HP:0002451), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Leukoencephalopathy (HP:0002352), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to COL4A1 Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral cortex morphology (MP:0000788), ",""
"115","HLA-DQB2",3120,0.3214,0.9931,0.3043,0,0.3214,0,0,0.3214,1,0,"","Methylmalonic aciduria (HP:0012120)-increased urine protein level (MP:0002962), ","","","",""
"116","ZNF142",7701,0.3234,0.9811,0.2857,0,0.3234,0,0,0.3234,1,0,"","Dystonia (HP:0001332)-hyperactivity (MP:0001399), ","","","",""
"117","PSPH",5723,0.3015,1,0.2749,0.4864,0.6031,0,0.5001,0.6031,0.5,0,"Phosphoserine phosphatase deficiency (OMIM:614023): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cerebellar atrophy (HP:0001272)-Cerebral atrophy (HP:0002059), ","Spasticity (HP:0001257)-thin cerebral cortex (MP:0006254), Microcephaly (HP:0000252)-abnormal olfactory bulb morphology (MP:0000819), Cataract (HP:0000518)-abnormal lens morphology (MP:0001303), Methylmalonic aciduria (HP:0012120)-small kidney (MP:0002989), Ventriculomegaly (HP:0002119)-abnormal choroid plexus morphology (MP:0000820), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal brain internal capsule morphology (MP:0008128), Cerebellar atrophy (HP:0001272)-abnormal hindbrain morphology (MP:0000841), ","","Proximity to ASNS associated with Asparagine synthetase deficiency (OMIM:615574): Spasticity (HP:0001257)-Spastic tetraplegia (HP:0002510), Microcephaly (HP:0000252)-Progressive microcephaly (HP:0000253), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","Proximity to ASNS Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-enlarged lateral ventricles (MP:0008535), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral cortex morphology (MP:0000788), Cerebellar atrophy (HP:0001272)-decreased brain size (MP:0000774), ",""
"118","HHAT",55733,0.5,0.7705,0.2661,0.4601,0.4253,0,0.5,0.5,1,0,"Chondrodysplasia-disorder of sex development syndrome (ORPHA:1422): Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Miosis (HP:0000616), Cerebellar atrophy (HP:0001272)-Brain very small (HP:0001322), ","Spasticity (HP:0001257)-small embryonic telencephalon (MP:0000936), Microcephaly (HP:0000252)-diencephalon hypoplasia (MP:0012092), Cataract (HP:0000518)-absent cornea (MP:0012247), Abnormal basal ganglia MRI signal intensity (HP:0012751)-small embryonic telencephalon (MP:0000936), ","","Proximity to GLI3 associated with Pallister-Hall syndrome (ORPHA:672): Microcephaly (HP:0000252)-Arrhinencephaly (HP:0002139), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormal basal ganglia MRI signal intensity (HP:0012751), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","Proximity to GLI3 Spasticity (HP:0001257)-abnormal cerebral hemisphere morphology (MP:0008540), Microcephaly (HP:0000252)-abnormal cerebral hemisphere morphology (MP:0008540), Ventriculomegaly (HP:0002119)-abnormal cerebral aqueduct morphology (MP:0005537), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral hemisphere morphology (MP:0008540), Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ",""
"119","BPTF",2186,0.5,0.7659,0.2579,0,0,0.2376,0.5,0.5,1,0,"","","Cerebellar atrophy (HP:0001272)-abnormal(ly) increased size forebrain (ZP:0004519), ","Proximity to HCFC1 associated with Mental retardation, X-linked 3 (OMIM:309541): Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Methylmalonic aciduria (HP:0012120), ","",""
"120","MUC17",140453,0.5007,0.7603,0.2496,0,0,0,0.5007,0.5007,1,0,"","","","Proximity to B4GALNT1 associated with Autosomal recessive spastic paraplegia type 26 (ORPHA:101006): Spasticity (HP:0001257)-Lower limb spasticity (HP:0002061), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Cataract (HP:0000518)-Cataract (HP:0000518), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hyperintensity of cerebral white matter on MRI (HP:0030890), Cerebellar atrophy (HP:0001272)-Abnormality of the cerebellum (HP:0001317), ","",""
"121","HSPG2",3339,0.2932,0.9926,0.2452,0.5864,0.349,0,0.5032,0.5864,0.5,0,"Schwartz-Jampel syndrome (ORPHA:800): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Dystonia (HP:0001332)-Blepharospasm (HP:0000643), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), ","Dystonia (HP:0001332)-abnormal locomotor coordination (MP:0003312), Microcephaly (HP:0000252)-decreased cranium height (MP:0008525), ","","Proximity to DAG1 associated with Muscular dystrophy-dystroglycanopathy (OMIM:616538): Spasticity (HP:0001257)-Polymicrogyria (HP:0002126), Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar cyst (HP:0002350), ","","Proximity to DAG1 Cataract (HP:0000518)-abnormal(ly) malformed lens (ZP:0002943), Cerebellar atrophy (HP:0001272)-abnormal(ly) disorganized granular layer corpus cerebelli (ZP:0002948), "
"122","VPS13C",54832,0.2851,0.9997,0.2417,0.5703,0,0,0,0.5703,0.5,0,"Parkinson disease 23, autosomal recessive, early onset (OMIM:616840): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Limb dystonia (HP:0002451), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","","","","",""
"123","NDUFA11",126328,0.2854,0.9981,0.2396,0.5709,0,0,0.5046,0.5709,0.5,0,"Mitochondrial complex I deficiency (OMIM:252010): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Progressive macrocephaly (HP:0004481), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","","","Proximity to NDUFA2 associated with Leigh syndrome with leukodystrophy (ORPHA:255241): Spasticity (HP:0001257)-Progressive spastic paraplegia (HP:0007020), Dystonia (HP:0001332)-Dystonia (HP:0001332), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Focal T2 hyperintense basal ganglia lesion (HP:0007183), Cerebellar atrophy (HP:0001272)-Optic atrophy (HP:0000648), ","",""
"124","CEP290",80184,0.2862,0.9945,0.2351,0.5725,0.447,0.4583,0.5124,0.5725,0.5,0,"Meckel syndrome (ORPHA:564): Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Aplasia/Hypoplasia of the corpus callosum (HP:0007370), Cerebellar atrophy (HP:0001272)-Dandy-Walker malformation (HP:0001305), ","Spasticity (HP:0001257)-abnormal cerebral hemisphere morphology (MP:0008540), Microcephaly (HP:0000252)-abnormal cerebral hemisphere morphology (MP:0008540), Methylmalonic aciduria (HP:0012120)-polyuria (MP:0001762), Ventriculomegaly (HP:0002119)-hydroencephaly (MP:0001891), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral hemisphere morphology (MP:0008540), ","Spasticity (HP:0001257)-abnormal(ly) lacks all parts of type retinal photoreceptor layer towards photoreceptor cell photoreceptor outer segment (ZP:0007135), Cataract (HP:0000518)-abnormal(ly) disorganized photoreceptor outer segment layer (ZP:0007138), Methylmalonic aciduria (HP:0012120)-abnormal(ly) edematous kidney (ZP:0002512), Ventriculomegaly (HP:0002119)-abnormal(ly) composition fourth ventricle (ZP:0007134), Cerebellar atrophy (HP:0001272)-abnormal(ly) organization quality cerebellum (ZP:0007133), ","Proximity to TMEM67 associated with Meckel syndrome (ORPHA:564): Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Aplasia/Hypoplasia of the corpus callosum (HP:0007370), Cerebellar atrophy (HP:0001272)-Dandy-Walker malformation (HP:0001305), ","Proximity to TMEM67 Spasticity (HP:0001257)-enlarged hippocampus (MP:0008282), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Methylmalonic aciduria (HP:0012120)-kidney cysts (MP:0003675), Ventriculomegaly (HP:0002119)-dilated fourth ventricle (MP:0000829), Abnormal basal ganglia MRI signal intensity (HP:0012751)-absent anterior commissure (MP:0008227), Cerebellar atrophy (HP:0001272)-decreased hindbrain size (MP:0012263), ","Proximity to TMEM67 Methylmalonic aciduria (HP:0012120)-abnormal(ly) decreased functionality pronephric duct cilium (ZP:0002547), "
"125","DNAH2",146754,0.5024,0.7323,0.2074,0,0,0,0.5024,0.5024,1,0,"","","","Proximity to RTTN associated with Microcephaly, short stature, and polymicrogyria with seizures (OMIM:614833): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the corpus callosum (HP:0001273), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
